A,B,C,D,VOLUME,AREA,AREA_FORMULA,VOL_FORMULA,ECLODIU
59.67,44.75,31.66,28.01,52.01,7635.75,7730.98,51.63,1
59.10,46.78,31.44,27.66,54.60,7898.25,8110.93,54.84,1
58.74,47.40,33.04,25.70,55.27,7981.86,8214.96,55.71,1
58.85,44.52,30.68,28.16,50.72,7446.02,7600.64,50.70,1
56.94,44.35,31.24,25.70,49.24,7248.14,7382.14,49.17,1
56.19,44.35,30.24,25.95,48.07,7083.80,7307.81,48.69,1
59.71,43.40,33.61,26.10,49.00,7278.83,7452.98,49.33,1
59.99,47.85,31.66,28.33,57.27,8228.52,8437.23,57.47,1
62.74,47.38,31.77,30.97,58.40,8405.28,8616.99,58.61,1
64.28,44.38,34.04,30.24,53.68,7908.68,8104.20,53.95,0
60.05,44.23,34.17,25.88,52.17,7641.71,7662.51,50.96,1
61.62,46.28,33.46,28.16,56.20,8141.46,8259.82,55.71,0
55.97,43.05,30.91,25.06,46.32,6849.95,7022.70,46.47,1
59.63,45.28,31.19,28.45,52.32,7665.98,7838.89,52.52,1
56.06,45.58,29.98,26.09,49.99,7336.79,7549.34,50.63,1
58.46,44.10,31.52,26.95,49.72,7328.71,7476.26,49.73,1
57.01,43.40,30.79,26.22,47.62,7058.65,7190.94,47.66,1
57.40,42.56,30.72,26.68,46.30,6881.80,7053.65,46.54,1
57.24,43.13,32.29,24.95,47.55,7046.89,7159.84,47.36,1
61.19,44.75,34.16,27.03,52.74,7752.73,7885.96,52.63,1
61.53,45.97,32.68,28.85,54.61,7965.20,8182.11,55.08,1
59.56,44.37,33.47,26.09,50.96,7504.20,7642.45,50.88,1
60.88,44.29,30.95,29.93,51.83,7603.97,7749.83,51.61,1
58.85,44.02,30.67,28.18,49.68,7313.42,7494.88,49.84,0
64.28,47.40,33.76,30.52,60.15,8652.93,8784.78,59.79,1
61.83,46.89,34.46,27.37,57.15,8274.80,8419.48,57.00,1
61.11,48.25,33.06,28.05,59.53,8523.36,8647.73,59.09,0
63.33,47.70,32.54,30.79,59.67,8580.58,8752.75,59.68,0
64.37,47.78,34.44,29.93,61.25,8770.18,8883.17,60.62,0
61.24,45.35,31.74,29.49,53.08,7772.19,8015.21,53.74,1
59.01,46.15,30.24,28.77,53.61,7799.37,7964.22,53.65,1
60.51,46.90,30.74,29.77,56.13,8125.73,8280.27,56.08,1
58.67,46.33,31.97,26.70,53.17,7738.82,7972.70,53.74,1
58.04,45.68,31.57,26.47,51.66,7551.91,7768.09,52.15,1
59.88,44.29,34.21,25.68,50.91,7485.34,7660.68,50.96,0
59.19,44.33,32.22,26.97,50.08,7382.56,7596.15,50.59,1
59.62,46.54,31.94,27.68,54.70,7940.35,8113.38,54.79,1
58.63,48.06,29.70,28.93,57.35,8235.88,8342.25,56.85,1
58.15,47.08,31.95,26.20,54.97,7952.98,8083.06,54.71,1
59.06,45.20,31.04,28.02,51.99,7623.78,7766.77,52.01,0
58.56,43.68,31.57,27.00,49.13,7259.17,7396.74,49.08,0
61.71,45.58,32.76,28.95,54.70,7987.34,8114.50,54.48,0
59.67,48.10,31.47,28.20,56.68,8166.43,8461.01,57.71,1
61.81,48.20,33.06,28.74,58.90,8460.28,8707.75,59.51,1
60.53,45.46,31.90,28.63,53.43,7754.17,7968.19,53.46,0
61.30,43.83,35.21,26.09,51.29,7570.87,7701.08,51.06,1
60.01,45.65,32.79,27.22,53.25,7781.27,7960.32,53.45,1
58.48,43.95,29.83,28.65,48.48,7152.83,7443.94,49.49,1
59.15,47.58,30.95,28.20,56.42,8128.21,8291.50,56.35,1
63.01,44.65,32.93,30.08,53.55,7872.93,8037.86,53.63,1
59.13,45.04,31.95,27.18,52.21,7634.19,7741.07,51.78,1
62.84,44.24,32.92,29.92,52.47,7718.82,7932.11,52.77,1
63.84,45.49,32.44,31.41,56.62,8233.65,8308.39,55.77,0
60.01,42.38,31.02,28.99,47.21,7041.90,7260.05,47.79,0
59.06,43.93,32.07,27.00,49.79,7353.40,7497.95,49.82,1
61.05,48.41,32.66,28.39,58.69,8411.66,8676.00,59.35,0
59.83,48.04,31.52,28.31,55.32,7982.78,8462.88,57.71,1
61.52,44.20,32.65,28.87,52.51,7656.61,7793.33,51.85,0
59.57,44.49,31.42,28.15,50.73,7446.13,7665.27,51.11,1
58.51,46.67,32.52,26.00,53.21,7742.59,8032.63,54.24,1
54.65,44.08,29.70,24.95,46.96,6922.05,7104.02,47.27,1
59.62,48.22,32.07,27.55,57.40,8251.09,8483.50,57.90,1
62.05,46.23,31.91,30.14,56.28,8133.45,8291.27,55.93,0
62.66,46.76,32.09,30.57,57.57,8312.37,8470.66,57.36,1
60.19,43.83,31.24,28.95,50.81,7480.90,7584.30,50.36,1
61.99,45.38,33.24,28.74,53.81,7872.32,8097.25,54.29,1
61.71,47.87,31.97,29.74,58.16,8375.56,8623.39,58.82,1
61.51,46.40,31.02,30.49,55.84,8104.57,8272.15,55.86,1
64.11,46.95,35.56,28.55,58.75,8491.66,8669.01,58.77,0
63.49,44.60,34.76,28.72,54.06,7939.57,8078.07,53.85,1
61.92,46.83,32.99,28.93,56.28,8154.28,8413.01,56.97,1
62.15,46.42,34.00,28.15,55.65,8110.94,8347.46,56.36,1
57.74,45.65,32.54,25.20,51.56,7546.92,7736.54,51.90,1
60.06,45.95,31.57,28.49,53.30,7786.61,8028.28,54.03,1
60.66,46.42,31.69,28.97,55.20,8020.52,8192.19,55.31,0
60.32,44.52,30.24,30.08,50.98,7520.44,7743.58,51.65,1
60.74,45.63,33.29,27.45,53.85,7857.81,8028.41,53.90,1
59.24,44.83,30.42,28.83,50.28,7392.08,7703.74,51.48,0
60.79,45.68,30.87,29.93,54.59,7944.64,8041.67,54.04,0
63.94,47.58,35.23,28.72,60.75,8718.63,8795.74,59.91,0
60.17,46.58,30.47,29.70,55.03,7985.45,8175.94,55.25,1
66.91,42.77,37.00,29.92,53.10,7911.96,8006.77,52.58,0
60.40,44.81,32.97,27.43,51.70,7580.96,7817.87,52.21,1
59.15,44.31,33.47,25.68,50.98,7486.14,7591.84,50.53,1
59.15,45.76,32.62,26.52,52.97,7714.31,7898.53,53.05,1
61.62,49.30,32.45,29.17,61.31,8709.94,8936.63,61.54,1
60.42,46.04,30.32,30.10,54.48,7939.45,8082.82,54.44,1
61.71,44.60,31.47,30.24,53.37,7833.87,7898.95,52.70,1
57.31,45.98,29.54,27.77,51.99,7583.57,7757.37,52.17,0
62.86,47.97,31.82,31.04,60.32,8647.51,8765.61,59.87,1
61.98,48.10,33.13,28.86,59.26,8511.92,8704.50,59.46,1
62.24,45.35,34.26,27.97,54.63,7987.70,8119.44,54.41,0
59.84,45.45,30.54,29.29,53.37,7798.49,7896.63,52.98,1
58.21,44.30,29.39,28.83,49.78,7308.46,7490.23,49.90,1
61.81,44.98,32.16,29.65,53.34,7796.68,7991.55,53.45,1
60.54,45.37,31.79,28.75,53.38,7817.92,7949.00,53.30,1
60.91,47.49,31.94,28.97,57.25,8256.78,8454.12,57.48,1
60.21,47.62,31.47,28.74,57.60,8287.94,8411.26,57.22,1
59.12,45.23,30.54,28.58,51.76,7588.06,7777.89,52.10,1
59.83,44.51,31.42,28.41,51.48,7564.00,7694.22,51.31,1
57.13,44.56,29.18,27.95,49.55,7282.52,7439.97,49.64,1
63.01,46.71,33.54,29.46,56.85,8242.97,8497.10,57.51,0
61.39,47.31,30.93,30.45,56.77,8191.14,8462.58,57.50,1
64.32,46.23,33.43,30.89,56.05,8149.11,8523.48,57.52,0
58.99,47.10,30.88,28.11,54.79,7920.17,8169.45,55.35,1
62.87,45.53,32.19,30.68,55.57,8087.77,8217.09,55.17,1
58.50,44.20,30.13,28.37,49.76,7275.09,7497.44,49.92,0
58.31,46.42,31.32,27.00,53.68,7803.64,7955.23,53.65,1
61.76,47.40,31.99,29.77,57.07,8239.51,8521.07,57.93,1
64.36,48.22,33.81,30.54,61.60,8816.56,8982.40,61.51,0
64.83,45.43,33.67,31.16,56.58,8262.02,8394.69,56.32,0
57.58,43.26,29.68,27.90,48.18,7100.87,7212.33,47.77,1
62.67,45.06,31.97,30.70,54.50,7965.48,8094.51,54.17,1
68.54,46.95,35.15,33.39,61.39,8774.40,9125.10,61.97,0
63.76,45.63,36.29,27.47,55.71,8131.54,8337.57,55.96,0
63.09,47.01,34.44,28.65,58.72,8451.40,8576.19,58.16,1
59.77,45.21,32.40,27.37,52.77,7664.42,7840.75,52.50,1
62.55,44.97,33.16,29.39,54.73,7974.65,8063.57,53.92,1
60.21,44.35,32.52,27.70,51.73,7604.27,7700.06,51.28,1
62.61,46.14,32.97,29.64,55.48,8099.08,8328.35,56.14,0
62.80,46.29,32.02,30.78,57.38,8330.09,8380.42,56.57,1
59.49,46.07,32.37,27.12,53.00,7721.16,7999.29,53.85,0
57.33,46.28,30.67,26.66,52.48,7622.44,7823.93,52.70,0
59.17,43.31,30.22,28.95,48.33,7159.54,7375.30,48.84,1
58.08,44.26,29.43,28.65,49.88,7328.74,7468.96,49.75,1
57.06,46.13,28.76,28.31,52.21,7585.06,7763.77,52.26,1
62.56,47.25,33.66,28.90,57.44,8276.24,8573.51,58.24,1
60.65,48.33,31.20,29.45,58.28,8375.88,8614.34,58.90,1
58.07,45.01,29.42,28.65,51.63,7536.68,7625.77,51.01,1
59.92,45.83,31.20,28.72,54.10,7873.66,7987.81,53.71,1
60.82,45.24,31.16,29.67,53.21,7758.52,7950.05,53.27,0
60.26,45.90,30.52,29.74,53.91,7859.05,8035.78,54.07,1
57.19,45.85,29.22,27.97,51.83,7560.36,7717.86,51.87,1
59.96,48.37,31.22,28.74,58.11,8345.70,8551.64,58.45,1
61.40,44.81,30.95,30.45,52.52,7701.46,7913.22,52.87,1
60.26,46.15,30.49,29.77,54.49,7926.66,8090.29,54.52,1
62.61,45.01,31.44,31.17,54.14,7913.43,8075.98,54.03,1
61.42,47.53,33.84,27.58,57.31,8252.36,8520.75,57.94,0
61.69,47.35,33.22,28.47,57.68,8330.50,8506.36,57.80,1
60.45,44.86,31.59,28.86,52.46,7684.56,7830.83,52.34,1
62.33,46.39,32.90,29.42,55.52,8092.07,8355.03,56.42,1
60.74,45.01,30.53,30.21,52.64,7706.43,7891.25,52.80,1
66.38,44.51,33.69,32.69,55.82,8192.37,8340.32,55.55,1
63.08,46.20,32.32,30.77,56.18,8171.18,8389.02,56.59,1
60.19,44.83,31.22,28.97,52.02,7629.35,7798.34,52.11,1
63.41,46.81,33.71,29.70,58.13,8393.24,8561.41,58.00,1
60.37,45.79,30.68,29.68,54.21,7898.51,8023.47,53.95,1
59.77,46.72,30.13,29.64,54.80,7895.20,8166.35,55.23,1
59.71,44.60,32.74,26.97,51.66,7588.70,7705.77,51.40,1
58.59,44.11,30.78,27.81,49.37,7274.04,7488.48,49.83,1
60.81,48.00,30.67,30.14,58.16,8325.25,8556.30,58.38,0
57.65,47.04,29.57,28.08,54.28,7868.84,8017.43,54.26,0
56.48,45.51,29.01,27.48,50.49,7399.54,7575.15,50.80,1
55.58,44.77,28.18,27.40,48.98,7180.78,7332.71,48.98,1
62.46,45.10,32.47,29.99,54.89,8019.45,8083.45,54.11,1
57.97,46.05,29.21,28.76,53.20,7752.01,7836.79,52.74,1
62.06,48.50,31.41,30.66,59.97,8554.53,8801.36,60.31,1
60.37,47.95,32.19,28.18,57.58,8292.69,8501.57,57.96,0
59.77,46.21,30.13,29.64,54.77,7909.03,8054.72,54.30,1
60.15,44.81,32.72,27.43,51.64,7587.79,7792.84,52.05,0
62.78,44.21,31.90,30.89,53.66,7842.91,7917.62,52.67,1
57.56,44.49,30.92,26.65,50.23,7358.46,7470.30,49.81,1
58.10,45.88,30.08,28.02,52.87,7682.63,7815.15,52.55,1
63.46,48.60,35.49,27.97,61.53,8770.97,8981.00,61.59,1
62.08,45.95,31.57,30.52,55.71,8077.41,8231.80,55.42,0
61.77,44.23,32.06,29.71,52.31,7676.10,7823.81,52.07,1
59.88,45.29,31.19,28.70,52.33,7663.26,7867.37,52.72,0
59.49,45.88,33.01,26.47,54.12,7867.26,7958.25,53.49,1
60.78,44.40,31.30,29.47,51.56,7607.73,7763.37,51.73,1
61.24,47.90,32.02,29.22,58.47,8399.94,8578.73,58.50,1
62.42,48.33,31.72,30.70,60.35,8636.47,8801.21,60.25,1
64.28,45.63,32.24,32.04,56.13,8202.95,8382.18,56.32,0
62.05,45.30,31.77,30.28,54.87,8029.73,8085.91,54.20,1
60.42,45.01,33.15,27.27,52.50,7700.94,7864.16,52.59,1
56.30,45.49,28.66,27.64,50.48,7367.88,7553.68,50.65,1
61.28,48.70,32.52,28.77,60.55,8647.49,8764.52,60.09,0
63.51,45.38,34.29,29.22,55.53,8109.21,8250.65,55.32,1
59.19,44.85,34.01,25.18,51.37,7526.98,7713.65,51.49,1
59.09,42.68,32.09,27.00,47.52,7074.87,7239.12,47.74,1
58.42,46.91,30.52,27.91,54.54,7882.73,8069.31,54.59,1
59.63,45.29,31.97,27.66,51.91,7598.87,7844.05,52.56,1
59.29,45.48,31.91,27.38,52.34,7630.07,7851.07,52.66,0
62.26,45.63,35.54,26.72,55.24,8051.87,8186.53,54.94,1
61.92,45.56,32.47,29.45,55.00,8018.92,8130.35,54.59,1
58.26,44.27,29.75,28.51,49.70,7338.94,7489.20,49.89,1
60.01,45.40,33.04,26.97,52.98,7751.01,7906.96,53.00,0
61.76,47.65,35.31,26.45,58.35,8401.45,8586.84,58.41,1
61.11,48.25,31.85,29.27,59.27,8501.94,8645.29,59.09,0
60.02,45.61,30.38,29.64,52.81,7713.53,7948.46,53.38,0
59.38,44.79,32.97,26.41,51.92,7606.08,7714.91,51.51,1
60.67,46.79,30.35,30.32,55.92,8109.58,8272.14,55.99,0
60.12,43.77,33.19,26.93,49.98,7392.19,7568.69,50.21,1
61.46,47.13,32.49,28.97,57.25,8270.54,8430.24,57.19,1
59.29,45.84,30.98,28.31,53.91,7845.80,7927.13,53.30,1
58.03,46.02,29.93,28.11,52.29,7590.72,7838.00,52.74,1
59.17,45.08,31.24,27.93,51.88,7598.53,7751.91,51.87,0
59.59,43.43,32.34,27.25,48.91,7241.85,7443.50,49.30,0
59.07,44.49,33.43,25.64,50.64,7436.44,7622.51,50.79,0
57.84,46.23,30.79,27.05,53.53,7785.78,7865.16,52.98,1
61.19,46.40,33.37,27.82,56.12,8137.83,8244.45,55.64,1
62.57,46.11,32.44,30.13,55.87,8141.79,8316.32,56.05,1
60.89,45.23,34.12,26.77,53.84,7865.90,7960.44,53.29,0
60.65,45.31,34.24,26.41,52.96,7743.54,7955.00,53.27,1
56.46,44.38,28.47,27.99,48.86,7180.75,7336.67,48.91,1
58.76,45.90,31.27,27.49,53.25,7754.17,7886.75,53.03,1
63.26,47.40,32.02,31.24,60.02,8620.19,8676.61,59.03,0
59.65,46.31,33.97,25.68,53.98,7856.71,8073.23,54.39,0
60.62,44.02,35.23,25.39,51.41,7568.08,7677.53,50.97,1
61.28,45.48,34.26,27.03,53.83,7856.56,8053.75,54.01,1
60.01,46.90,30.24,29.77,55.41,8024.93,8228.83,55.72,0
61.33,45.98,31.25,30.08,54.94,7999.19,8161.64,54.95,1
59.49,46.07,30.38,29.11,54.25,7876.11,7995.68,53.85,1
60.05,44.08,31.94,28.11,50.25,7427.15,7625.59,50.71,0
61.78,43.70,35.17,26.61,51.49,7567.42,7718.95,51.14,0
61.53,46.96,33.32,28.20,56.85,8198.22,8401.55,56.93,1
60.25,46.42,30.62,29.63,54.54,7936.37,8148.83,55.01,1
61.95,45.51,31.60,30.35,54.63,7987.18,8120.80,54.51,1
59.71,47.87,29.97,29.74,56.89,8198.49,8413.37,57.31,1
57.74,44.20,30.12,27.61,49.19,7233.21,7424.39,49.43,0
61.89,45.04,31.95,29.93,54.00,7894.77,8012.11,53.61,1
59.01,45.15,29.74,29.27,51.83,7588.41,7749.28,51.89,0
59.31,43.87,33.22,26.09,49.85,7370.43,7512.35,49.87,1
60.45,47.45,32.64,27.81,57.48,8285.18,8400.05,57.07,0
61.13,47.30,31.17,29.96,57.36,8276.26,8433.67,57.29,0
58.29,44.68,29.52,28.77,50.85,7460.94,7577.31,50.59,1
62.28,45.65,32.54,29.74,55.26,8053.66,8185.90,55.00,1
60.26,46.15,33.04,27.22,54.44,7919.81,8094.57,54.52,1
65.49,48.24,34.75,30.74,61.67,8824.86,9106.26,62.40,1
60.51,46.63,32.02,28.49,55.55,8053.82,8221.47,55.57,1
68.45,49.64,34.86,33.59,67.56,9566.52,9756.79,67.72,1
60.34,44.46,33.84,26.50,51.33,7559.81,7737.67,51.54,1
63.91,44.98,32.07,31.85,54.38,7988.92,8200.73,54.84,0
62.86,46.53,34.69,28.16,57.67,8332.58,8443.75,57.05,1
60.11,45.73,32.88,27.22,53.95,7872.63,7988.05,53.66,1
60.62,46.04,34.22,26.39,53.92,7854.55,8111.31,54.58,1
62.81,48.20,33.54,29.27,60.04,8606.90,8813.08,60.27,0
61.17,45.58,33.97,27.20,54.12,7897.75,8063.90,54.12,0
61.04,44.22,34.67,26.37,51.90,7602.60,7756.68,51.57,1
57.96,46.13,31.74,26.22,52.78,7687.52,7857.44,52.88,1
62.76,45.63,31.99,30.77,54.80,8009.35,8227.90,55.28,1
61.87,46.03,32.45,29.42,55.73,8086.82,8227.62,55.42,1
62.15,46.56,33.97,28.18,56.15,8147.57,8378.61,56.62,0
60.94,45.58,32.47,28.47,54.04,7888.74,8037.15,53.96,1
58.65,44.81,32.47,26.18,51.17,7500.63,7646.46,51.06,1
59.99,43.88,33.29,26.70,50.08,7390.68,7578.72,50.31,1
59.99,44.13,34.29,25.70,50.99,7513.03,7635.55,50.74,1
61.09,46.51,31.94,29.15,55.37,8027.39,8255.00,55.77,1
57.36,45.29,32.97,24.39,51.31,7487.22,7626.43,51.03,1
62.48,45.04,33.65,28.83,54.35,7966.63,8073.63,54.01,0
58.56,44.70,31.04,27.52,50.80,7461.64,7611.74,50.82,1
58.90,43.81,33.97,24.93,50.10,7372.44,7464.40,49.51,0
60.65,46.06,34.24,26.41,54.73,7956.19,8118.88,54.64,1
62.97,45.76,32.09,30.88,55.12,8050.08,8279.66,55.68,1
57.49,46.65,30.74,26.75,53.49,7763.37,7919.55,53.46,1
61.90,46.56,33.72,28.18,56.18,8137.75,8352.62,56.45,0
58.74,45.13,32.04,26.70,51.37,7530.50,7720.77,51.66,1
57.96,44.63,30.77,27.20,50.33,7395.78,7536.71,50.30,1
56.90,43.06,31.22,25.68,47.19,6987.86,7110.83,47.04,1
61.36,47.24,31.96,29.40,56.88,8223.70,8443.87,57.33,1
61.33,48.16,31.94,29.39,59.04,8479.69,8648.26,59.09,1
58.60,46.03,33.69,24.91,53.12,7717.45,7906.32,53.15,1
59.10,44.15,32.23,26.87,49.55,7322.53,7549.26,50.22,1
62.01,44.13,33.54,28.47,52.19,7699.21,7827.14,52.03,0
60.99,43.35,33.51,27.47,49.83,7384.26,7562.63,50.03,0
61.49,46.63,32.24,29.24,56.43,8173.71,8321.01,56.27,1
60.46,45.85,34.01,26.45,54.12,7892.28,8053.41,54.12,1
61.12,47.42,32.97,28.15,57.42,8293.49,8461.30,57.50,1
62.12,45.28,35.46,26.66,54.02,7897.77,8095.25,54.19,1
59.32,44.24,31.67,27.65,50.33,7396.39,7588.13,50.52,0
60.34,45.20,33.59,26.75,52.50,7700.64,7898.20,52.87,1
63.03,46.90,34.01,29.02,56.97,8260.40,8543.33,57.90,1
62.29,48.48,34.41,27.89,61.45,8719.63,8825.97,60.44,0
60.06,46.20,33.06,27.00,55.37,8039.05,8086.07,54.48,1
63.53,45.13,36.54,27.00,55.90,8174.65,8204.88,54.86,1
60.00,44.44,33.64,26.36,51.80,7520.04,7701.40,51.30,1
61.35,45.59,33.63,27.73,53.23,7807.46,8083.11,54.26,1
60.31,46.45,33.04,27.27,54.84,7969.58,8165.61,55.11,1
60.15,46.06,33.22,26.93,54.71,7951.00,8065.36,54.29,1
58.26,45.92,31.27,27.00,51.88,7579.63,7842.63,52.73,1
58.47,43.74,30.78,27.69,49.03,7213.83,7397.79,49.12,1
59.06,44.93,30.27,28.80,51.02,7496.62,7706.89,51.53,1
60.53,45.40,34.54,26.00,53.28,7783.18,7963.88,53.35,0
60.74,45.97,33.92,26.83,54.96,7997.85,8107.20,54.54,1
56.04,47.70,31.20,24.84,54.16,7837.33,8001.81,54.26,1
61.40,46.81,32.47,28.93,56.75,8210.26,8354.61,56.56,1
58.19,43.83,31.24,26.95,49.27,7274.94,7392.45,49.10,1
63.14,44.52,35.71,27.43,54.25,7953.73,8029.92,53.48,1
62.06,45.73,34.93,27.13,55.31,8026.25,8188.48,55.00,1
61.92,45.76,35.12,26.80,55.72,8090.48,8180.92,54.95,1
60.99,45.97,32.68,28.31,54.66,7961.46,8128.14,54.71,1
64.33,45.43,34.84,29.49,56.45,8245.28,8345.01,55.97,1
59.51,44.15,30.03,29.48,50.61,7448.06,7586.18,50.49,1
60.76,43.13,31.02,29.74,49.29,7316.97,7488.89,49.50,1
62.67,44.56,35.98,26.70,53.19,7820.94,7994.25,53.25,1
60.64,44.98,32.59,28.05,52.54,7692.72,7877.45,52.68,1
58.88,48.58,32.47,26.41,57.49,8236.42,8488.57,58.01,1
59.35,45.78,31.70,27.65,53.32,7762.27,7919.63,53.22,0
57.67,43.33,32.22,25.45,47.91,7081.39,7241.90,47.95,1
58.84,42.68,32.84,26.00,47.44,7054.32,7217.93,47.59,1
58.24,44.63,30.77,27.47,50.71,7451.70,7563.08,50.47,1
58.61,46.54,31.69,26.93,54.67,7908.57,8012.21,54.08,1
62.08,47.70,33.34,28.74,58.19,8365.00,8624.50,58.75,1
61.74,47.38,32.76,28.97,58.00,8360.89,8514.55,57.87,1
57.65,43.56,31.47,26.18,47.74,7063.82,7285.15,48.31,1
58.35,43.27,32.95,25.39,47.55,7048.09,7295.51,48.27,1
59.12,43.71,29.79,29.32,49.46,7309.59,7453.55,49.48,1
57.15,45.29,32.13,25.03,50.53,7415.88,7602.58,50.89,1
59.76,46.71,31.31,28.45,54.80,7955.38,8163.29,55.20,1
60.34,46.45,33.09,27.25,54.97,7988.90,8168.45,55.13,0
60.46,45.35,31.52,28.95,54.38,7927.85,7938.41,53.22,1
57.61,43.02,29.93,27.68,47.34,7005.29,7167.35,47.41,1
59.88,44.79,33.71,26.18,52.45,7678.98,7765.90,51.84,1
56.42,44.58,29.97,26.45,49.32,7238.96,7376.37,49.21,1
62.26,48.98,34.60,27.66,60.88,8661.22,8937.04,61.40,1
62.40,44.15,35.03,27.37,52.86,7792.07,7874.85,52.33,0
60.13,44.94,30.21,29.92,51.76,7607.85,7813.66,52.25,1
59.87,44.52,31.94,27.93,51.17,7511.36,7701.70,51.36,1
57.58,44.26,31.94,25.64,48.93,7198.19,7425.22,49.43,1
59.37,45.23,34.09,25.28,52.60,7700.40,7812.07,52.27,0
58.55,44.07,31.85,26.70,49.53,7316.52,7477.34,49.72,1
61.83,44.68,33.59,28.24,52.87,7766.36,7930.13,52.91,0
61.52,44.23,33.83,27.69,51.18,7534.48,7803.19,51.91,0
61.60,43.51,35.71,25.89,50.98,7523.32,7661.50,50.68,1
60.24,43.85,34.04,26.20,50.48,7452.70,7599.96,50.43,1
65.03,47.90,34.79,30.24,61.37,8807.27,8979.70,61.35,1
59.19,48.87,30.22,28.97,58.09,8325.62,8580.67,58.80,0
58.80,43.73,33.41,25.39,49.31,7253.60,7435.63,49.31,1
62.08,44.86,33.47,28.61,52.59,7754.24,7994.23,53.41,1
59.44,43.33,34.26,25.18,48.24,7139.98,7415.34,49.04,1
60.31,45.18,32.32,27.99,52.33,7676.98,7886.16,52.80,1
62.35,47.78,34.69,27.66,58.31,8378.76,8674.76,59.11,0
60.56,47.95,34.34,26.22,57.55,8285.31,8527.22,58.09,0
58.21,46.38,31.77,26.45,53.84,7818.33,7935.98,53.49,1
61.55,44.97,35.67,25.88,53.79,7835.19,7973.60,53.25,0
59.13,43.79,31.72,27.41,49.43,7309.42,7474.96,49.63,0
61.81,47.45,35.09,26.72,58.07,8368.67,8545.97,58.07,1
61.33,46.14,34.71,26.62,55.87,8125.54,8205.24,55.25,0
59.94,46.85,30.72,29.22,55.07,7986.53,8212.07,55.59,0
61.35,46.28,31.94,29.42,55.87,8093.70,8229.97,55.52,1
59.62,45.48,33.12,26.50,53.14,7772.41,7886.31,52.88,1
58.03,44.86,31.41,26.62,50.18,7384.26,7594.42,50.74,1
58.85,45.18,35.03,23.82,51.08,7516.10,7756.91,51.84,1
60.61,48.50,33.31,27.30,58.60,8407.98,8652.78,59.19,1
60.84,46.76,32.49,28.35,55.29,7992.97,8285.38,56.06,1
62.36,45.45,32.04,30.32,54.00,7911.16,8149.70,54.68,0
60.63,45.04,33.72,26.91,52.51,7687.26,7892.84,52.78,1
60.74,44.63,32.24,28.49,51.59,7593.87,7809.00,52.10,1
60.15,45.81,33.97,26.18,53.95,7865.38,8013.60,53.84,1
60.86,45.73,32.81,28.05,53.99,7889.41,8062.50,54.18,1
61.01,46.90,31.52,29.49,56.21,8141.95,8331.96,56.44,1
64.66,46.29,35.23,29.43,58.08,8423.35,8574.75,57.87,1
60.26,44.13,31.54,28.72,50.96,7520.27,7654.38,50.92,1
